species,NODC,dup_species
Lamellaria perspicua,5103660102,FALSE
Lamellaria lateus,5103660103,FALSE
Velutina,5103660400,FALSE
Velutina velutina,5103660401,FALSE
Cypraeidae,5103710000,FALSE
Trivia,5103710100,FALSE
Trivia monacha,5103710101,FALSE
Trivia arctica,5103710102,FALSE
Naticidae,5103760000,FALSE
Natica,5103760200,FALSE
Natica alderi,5103760206,FALSE
Natica catena,5103760207,FALSE
Polinices,5103760400,FALSE
Polinices catena,5103760411,FALSE
Polinices polianus,5103760412,FALSE
Tornidae,5103820000,FALSE
Tornus,5103820100,FALSE
Tornus grayana,5103820101,FALSE
Stenoglossa,5105000000,FALSE
Muricidae,5105010000,FALSE
Ocenebra,5105010200,FALSE
Ocenebra erinaceus,5105010207,FALSE
Thais,5105010800,FALSE
Thais lapillus,5105010802,FALSE
Trophon,5105011000,FALSE
Trophon muricatus,5105011001,FALSE
Buccinidae,5105040000,FALSE
Buccinum,5105040100,FALSE
Buccinum undatum,5105040145,FALSE
Chauvetia,5105040400,FALSE
Chauvetia brunnea,5105040401,FALSE
Neptuneidae,5105050000,FALSE
Colus,5105050300,FALSE
Colus gracilis,5105050332,FALSE
Neptunea,5105050800,FALSE
Neptunea antiqua,5105050812,FALSE
Nassariidae,5105080000,FALSE
Nassarius,5105080100,FALSE
Nassarius reticulatus,5105080105,FALSE
Nassarius incrassatus,5105080106,FALSE
Nassarius pygmaeus,5105080107,FALSE
Toxoglossa,5106000000,FALSE
Turridae,5106020000,FALSE
Lora,5106020700,FALSE
Lora turricula,5106020731,FALSE
Entomotaeniata,5108000000,FALSE
Pyramidellidae,5108010000,FALSE
Odostomia,5108010100,FALSE
Odostomia nivosa,5108010135,FALSE
Odostomia truncatula,5108010136,FALSE
Odostomia plicata,5108010137,FALSE
Odostomia unidentata,5108010138,FALSE
Turbonilla,5108010200,FALSE
Turbonilla elegantissima,5108010212,FALSE
Turbonilla rufa,5108010296,FALSE
Chrysallida,5108010400,FALSE
Chrysallida obtusa,5108010401,FALSE
Chrysallida decussata,5108010402,FALSE
Chrysallida spiralis,5108010403,FALSE
Branchystomia,5108010500,FALSE
Branchystomia scalaris,5108010501,FALSE
Branchystomia albella,5108010502,FALSE
Eulimella,5108010600,FALSE
Eulimella nitidissima,5108010601,FALSE
Cephalaspidea,5110000000,FALSE
Acteonidae,5110010000,FALSE
Acteon,5110010100,FALSE
Acteon tornatilis,5110010102,FALSE
Cylichnidae,5110040000,FALSE
Cylichna,5110040200,FALSE
Cylichna cylindracea,5110040211,FALSE
Scaphander,5110040300,FALSE
Scaphander lignarius,5110040303,FALSE
Philinidae,5110050000,FALSE
Philine,5110050100,FALSE
Philine aperta,5110050106,FALSE
Philine alata,5110050107,FALSE
Retusidae,5110130000,FALSE
Retusa,5110130100,FALSE
Retusa obtusa,5110130101,FALSE
Retusa alba,5110130104,FALSE
Retusa trunculata,5110130109,FALSE
Thecosomata,5113000000,FALSE
Lymacinidae,5113010000,FALSE
Lymacina,5113010100,FALSE
Lymacina retroversa,5113010106,FALSE
Cavolinidae,5113020000,FALSE
Peraclididae,5113030000,FALSE
Procymbuliidae,5113040000,FALSE
Cymbuliidae,5113050000,FALSE
Desmopteridae,5113060000,FALSE
Basommatophora,5114000000,FALSE
Ellobiidae,5114040000,FALSE
Phytia,5114040100,FALSE
Phytia myosotis,5114040101,FALSE
Leucophytia,5114040400,FALSE
Leucophytia bidentata,5114040401,FALSE
Gymnosomata,5125000000,FALSE
Clionidae,5125060000,FALSE
Clione,5125060100,FALSE
Clione limacina,5125060101,FALSE
Nudibranchia,5127000000,FALSE
Cryptobranchia,5130000000,FALSE
Chromodorididae,5130020000,FALSE
Dorididae,5130030000,FALSE
Dendronotoidea,5134000000,FALSE
Dendronotidae,5134060000,FALSE
Cleioprocta,5142000000,FALSE
Facelinidae,5142010000,FALSE
